DANE,Department,Deparment_DANE,Year,Month,Deparment_Month,Year_month,Period,DANE_period,DANE_Department_Month,DANE_year,DANE_Year_Month,MPI,altitude,forest,deforest,fire,HFP,mining,Total_pob,coca,temperature,rainfall,vector,cases,sir,excess
25807,25,2525807,2021,8,258,2021-8,176,25807008,25807258,258072021,25807-2021-8,52.3,1600,8.11074999,0,0.450597222,7.110500927,0.290697674,3415,0,14.3060547,2.728158,11.49425287,0,0,0
25807,25,2525807,2021,9,259,2021-9,177,25807009,25807259,258072021,25807-2021-9,52.3,1600,8.11074999,0,0.450597222,7.110500927,0.290697674,3415,0,14.5702148,2.247636,11.49425287,0,0,0
25807,25,2525807,2021,10,2510,2021-10,178,25807010,258072510,258072021,25807-2021-10,52.3,1600,8.11074999,0,0.450597222,7.110500927,0.290697674,3415,0,15.165918,3.841267,11.49425287,0,0,0
25807,25,2525807,2021,11,2511,2021-11,179,25807011,258072511,258072021,25807-2021-11,52.3,1600,8.11074999,0,0.450597222,7.110500927,0.290697674,3415,0,15.065332,2.483505,11.49425287,0,0,0
25807,25,2525807,2021,12,2512,2021-12,180,25807012,258072512,258072021,25807-2021-12,52.3,1600,8.11074999,0,0.450597222,7.110500927,0.290697674,3415,0,15.4718262,1.657442,11.49425287,0,0,0
52354,52,5252354,2021,1,521,2021-1,169,52354001,52354521,523542021,52354-2021-1,40.2,1600,0.315445509,0,0.315445509,7.772638804,0.210084034,7444,0,24.0111023,6.743598,0,0,0,0
52354,52,5252354,2021,2,522,2021-2,170,52354002,52354522,523542021,52354-2021-2,40.2,1600,0.315445509,0,0.315445509,7.772638804,0.210084034,7444,0,25.0247742,6.135162,0,0,0,0
52354,52,5252354,2021,3,523,2021-3,171,52354003,52354523,523542021,52354-2021-3,40.2,1600,0.315445509,0,0.315445509,7.772638804,0.210084034,7444,0,24.1314941,9.145391,0,0,0,0
52354,52,5252354,2021,4,524,2021-4,172,52354004,52354524,523542021,52354-2021-4,40.2,1600,0.315445509,0,0.315445509,7.772638804,0.210084034,7444,0,24.0777222,10.840692,0,0,0,0
52354,52,5252354,2021,5,525,2021-5,173,52354005,52354525,523542021,52354-2021-5,40.2,1600,0.315445509,0,0.315445509,7.772638804,0.210084034,7444,0,23.6496826,11.162631,0,0,0,0
52354,52,5252354,2021,6,526,2021-6,174,52354006,52354526,523542021,52354-2021-6,40.2,1600,0.315445509,0,0.315445509,7.772638804,0.210084034,7444,0,23.3475281,10.228964,0,0,0,0
52354,52,5252354,2021,7,527,2021-7,175,52354007,52354527,523542021,52354-2021-7,40.2,1600,0.315445509,0,0.315445509,7.772638804,0.210084034,7444,0,23.1244751,8.144042,0,0,0,0
52354,52,5252354,2021,8,528,2021-8,176,52354008,52354528,523542021,52354-2021-8,40.2,1600,0.315445509,0,0.315445509,7.772638804,0.210084034,7444,0,23.7947021,7.595265,0,0,0,0
52354,52,5252354,2021,9,529,2021-9,177,52354009,52354529,523542021,52354-2021-9,40.2,1600,0.315445509,0,0.315445509,7.772638804,0.210084034,7444,0,24.1868835,7.645104,0,0,0,0
52354,52,5252354,2021,10,5210,2021-10,178,52354010,523545210,523542021,52354-2021-10,40.2,1600,0.315445509,0,0.315445509,7.772638804,0.210084034,7444,0,24.4262329,8.498317,0,0,0,0
52354,52,5252354,2021,11,5211,2021-11,179,52354011,523545211,523542021,52354-2021-11,40.2,1600,0.315445509,0,0.315445509,7.772638804,0.210084034,7444,0,24.1774536,7.155437,0,0,0,0
52354,52,5252354,2021,12,5212,2021-12,180,52354012,523545212,523542021,52354-2021-12,40.2,1600,0.315445509,0,0.315445509,7.772638804,0.210084034,7444,0,24.5025879,6.14906,0,0,0,0
68432,68,6868432,2021,1,681,2021-1,169,68432001,68432681,684322021,68432-2021-1,19.3,1600,2.670451542,0,0.445075257,10.13687676,0.555555556,21912,0,24.0111023,6.743598,0,0,0,0
68432,68,6868432,2021,2,682,2021-2,170,68432002,68432682,684322021,68432-2021-2,19.3,1600,2.670451542,0,0.445075257,10.13687676,0.555555556,21912,0,25.0247742,6.135162,0,0,0,0
68432,68,6868432,2021,3,683,2021-3,171,68432003,68432683,684322021,68432-2021-3,19.3,1600,2.670451542,0,0.445075257,10.13687676,0.555555556,21912,0,24.1314941,9.145391,0,0,0,0
68432,68,6868432,2021,4,684,2021-4,172,68432004,68432684,684322021,68432-2021-4,19.3,1600,2.670451542,0,0.445075257,10.13687676,0.555555556,21912,0,24.0777222,10.840692,0,0,0,0
68432,68,6868432,2021,5,685,2021-5,173,68432005,68432685,684322021,68432-2021-5,19.3,1600,2.670451542,0,0.445075257,10.13687676,0.555555556,21912,0,23.6496826,11.162631,0,0,0,0
68432,68,6868432,2021,6,686,2021-6,174,68432006,68432686,684322021,68432-2021-6,19.3,1600,2.670451542,0,0.445075257,10.13687676,0.555555556,21912,0,23.3475281,10.228964,0,0,0,0
68432,68,6868432,2021,7,687,2021-7,175,68432007,68432687,684322021,68432-2021-7,19.3,1600,2.670451542,0,0.445075257,10.13687676,0.555555556,21912,0,23.1244751,8.144042,0,0,0,0
68432,68,6868432,2021,8,688,2021-8,176,68432008,68432688,684322021,68432-2021-8,19.3,1600,2.670451542,0,0.445075257,10.13687676,0.555555556,21912,0,23.7947021,7.595265,0,0,0,0
68432,68,6868432,2021,9,689,2021-9,177,68432009,68432689,684322021,68432-2021-9,19.3,1600,2.670451542,0,0.445075257,10.13687676,0.555555556,21912,0,24.1868835,7.645104,0,0,0,0
